address,fuel,name,Longitude,Latitude,Time
"3303 Water St NW, Washington, DC 20007, USA",31,EC6540,-77.06684,38.90384,5/19/2017 13:53
"4536-4578 40th St NW, Washington, DC 20016, USA",53,EC6550,-77.07881,38.94894,5/18/2017 13:57
"4536-4578 40th St NW, Washington, DC 20016, USA",53,EC6550,-77.07881,38.94894,5/18/2017 14:27
"4016 47th St NW, Washington, DC 20016, USA",53,EC6550,-77.09265,38.942,5/18/2017 14:57
"4016 47th St NW, Washington, DC 20016, USA",53,EC6550,-77.09265,38.942,5/19/2017 8:10
"3220 44th St NW, Washington, DC 20016, USA",53,EC6550,-77.08625,38.93391,5/19/2017 8:20
"3220 44th St NW, Washington, DC 20016, USA",53,EC6550,-77.08625,38.93391,5/19/2017 9:00
"2124 Tunlaw Rd NW, Washington, DC 20007, USA",50,EC6550,-77.07275,38.91899,5/19/2017 9:16
"2124 Tunlaw Rd NW, Washington, DC 20007, USA",50,EC6550,-77.07275,38.91899,5/19/2017 9:31
"3105-3109 38th St NW, Washington, DC 20016, USA",50,EC6550,-77.07452,38.93007,5/19/2017 9:46
"3105-3109 38th St NW, Washington, DC 20016, USA",50,EC6550,-77.07452,38.93007,5/19/2017 9:51
"1444 N St NW, Washington, DC 20005, USA",46,EC6550,-77.03389,38.90712,5/19/2017 10:21
"1444 N St NW, Washington, DC 20005, USA",46,EC6550,-77.03389,38.90712,5/19/2017 13:53
"1218 Connecticut Ave NW, Washington, DC 20036, USA",78,EC6551,-77.04202,38.90639,5/18/2017 13:52
"1218 Connecticut Ave NW, Washington, DC 20036, USA",78,EC6551,-77.04202,38.90639,5/18/2017 16:28
"750 N Quincy St, Arlington, VA 22203, USA",71,EC6551,-77.10758,38.87958,5/18/2017 17:24
"750 N Quincy St, Arlington, VA 22203, USA",71,EC6551,-77.10758,38.87958,5/18/2017 17:29
"601-679 5th St NW, Washington, DC 20001, USA",68,EC6551,-77.01878,38.89759,5/18/2017 18:20
"601-679 5th St NW, Washington, DC 20001, USA",68,EC6551,-77.01878,38.89759,5/18/2017 18:51
"242 16th St SE, Washington, DC 20003, USA",65,EC6551,-76.98219,38.88597,5/18/2017 19:57
"242 16th St SE, Washington, DC 20003, USA",65,EC6551,-76.98219,38.88597,5/19/2017 7:50
"1656 Newton St NW, Washington, DC 20010, USA",59,EC6551,-77.03891,38.93392,5/19/2017 9:11
"1656 Newton St NW, Washington, DC 20010, USA",59,EC6551,-77.03891,38.93392,5/19/2017 10:27
